step,input_len,e2e_ms,ttft_ms,tpot_ms
1,1012,794.3,47.6,5.9
2,1512,791.5,43.9,5.9
3,2012,796.6,48.5,5.9
4,2512,798.0,48.8,5.9
5,3012,804.6,54.4,5.9
6,3512,805.2,55.0,5.9
7,4012,806.3,55.4,5.9
8,4512,810.4,59.6,5.9
9,5012,813.4,61.9,5.9
10,5512,815.9,63.4,5.9
